"ID","Title","Created By","Created On","Preconditions","Priority","Section","Section Hierarchy","Steps","Steps (Expected Result)","Template","Type","Updated On"
"C1","Создание аккаунта","Anastasia Vasilyeva","5/8/2025 2:02 PM","Выполнить тест-кейс С4","Medium","Регистрация","Регистрация","Step Description:
Ввести в поле """"E-mail"""": test@test.ru
Ввести в поле """"Пароль"""": testpass 
Нажать на кнопку """"Регистрация""""
Expected Result:
Регистрация завершится успешно. Откроется страница """"Личного кабинета""""","Регистрация завершится успешно. Откроется страница ""Личного кабинета""","Test Case (Steps)","Functional","5/8/2025 4:45 PM"
"C2","Смена пароля","Anastasia Vasilyeva","5/8/2025 2:26 PM","Выполнить тест-кейс C1
Выйти из личного кабинета","Medium","Регистрация","Регистрация","Step Description:
Нажать на кнопку """"Войти"""" в шапке
Expected Result:
Справа появится окно с формой """"Вход/Регистрация""""","Справа появится окно с формой ""Вход/Регистрация""","Test Case (Steps)","Functional","5/8/2025 3:01 PM"
"","","","","","","","","
Step Description:
Нажать на ссылку """"Забыли пароль?""""
Expected Result:
Появится форма """"Восстановление данных""""","Появится форма ""Восстановление данных""","","",""
"","","","","","","","","
Step Description:
Ввести e-mail из тест-кейса С1 в поле """"E-mail"""" и нажать на кнопку """"Получить ссылку""""
Expected Result:
Появится сообщение """"Инструкция по восстановлению пароля отправлена на почту""""","Появится сообщение ""Инструкция по восстановлению пароля отправлена на почту""","","",""
"","","","","","","","","
Step Description:
Зайти в почтовый ящик, открыть письмо """"Восстановление пароля на TOPTOP.ru"""" и нажать на кнопку """"Ссылка на новый пароль""""
Expected Result:
В новом окне откроется страница с формой восстановления пароля","В новом окне откроется страница с формой восстановления пароля","","",""
"","","","","","","","","
Step Description:
В поле """"Введите новый пароль"""" ввести валидный пароль и нажать на кнопку """"Сохранить""""
Expected Result:
Появится сообщение """"Пароль успешно изменён""""","Появится сообщение ""Пароль успешно изменён""","","",""
"C4","Путь до формы регистрации","Anastasia Vasilyeva","5/8/2025 2:58 PM","Открыть главную страницу сайта https://toptop.ru","Medium","Регистрация","Регистрация","Step Description:
Нажать на кнопку """"Войти"""" в шапке
Expected Result:
Справа появится форма """"Вход/Регистрация""""","Справа появится форма ""Вход/Регистрация""","Test Case (Steps)","Functional","5/8/2025 2:58 PM"
"","","","","","","","","
Step Description:
Нажать на ссылку """"Регистрация""""
Expected Result:
Кнопка """"Войти"""" изменится на кнопку """"Регистрация""""","Кнопка ""Войти"" изменится на кнопку ""Регистрация""","","",""
"C13","Регистрация уже существующего E-mail","Anastasia Vasilyeva","5/8/2025 4:37 PM","Выполнить тест-кейс С1
Выйти из личного кабинета, если выполнена авторизация
Выполнить тест-кейс С4
","Medium","Регистрация","Регистрация","Step Description:
Ввести в поле """"E-mail"""" зарегистрированный на сайте e-mail
Заполнить поле """"Пароль""""
Нажать на кнопку """"Регистрация""""
Expected Result:
Форма не отправится. Появится сообщение об ошибке.","Форма не отправится. Появится сообщение об ошибке.","Test Case (Steps)","Functional","5/10/2025 10:11 AM"
"C7","Валидация поля """"E-mail"""" на пробелы","Anastasia Vasilyeva","5/8/2025 3:26 PM","Выполнить тест-кейс С4","Medium","Валидация полей","Регистрация > Валидация полей","Step Description:
Заполнить поле """"E-mail"""" пробелами

Expected Result:
Под полем """"E-mail"""" появится сообщение об ошибке","Под полем ""E-mail"" появится сообщение об ошибке","Test Case (Steps)","Functional","5/10/2025 10:13 AM"
"C8","Валидация поля """"Пароль"""" на пробелы (один пробел)","Anastasia Vasilyeva","5/8/2025 3:30 PM","Выполнить тест-кейс С4","Medium","Валидация полей","Регистрация > Валидация полей","Step Description:
Поставить в поле """"Пароль"""" один пробел
Expected Result:
Под полем """"Пароль"""" появится сообщение об ошибке """"Минимальная длина пароля - 3 символа""""
","Под полем ""Пароль"" появится сообщение об ошибке ""Минимальная длина пароля - 3 символа""
","Test Case (Steps)","Functional","5/10/2025 6:27 PM"
"C10","Валидация поля """"E-mail"""" на спецсимволы","Anastasia Vasilyeva","5/8/2025 3:48 PM","Выполнить тест-кейс С4

Данные для регистрации: 
Email: vgr#!2@mail.ru
Пароль: pass12345 ","Medium","Валидация полей","Регистрация > Валидация полей","Step Description:
Заполнить поля """"Email"""" и """"Пароль""""
Нажать на кнопку """"Регистрация""""
Expected Result:
Форма не отправится. Поле """"E-mail"""" выдаст сообщение об ошибке.","Форма не отправится. Поле ""E-mail"" выдаст сообщение об ошибке.","Test Case (Steps)","Functional","5/10/2025 6:22 PM"
"C11","Валидация полей """"E-mail"""" и """"Пароль"""" на * (звёздочки)","Anastasia Vasilyeva","5/8/2025 4:08 PM","Выполнить тест-кейс С4

Данные для регистрации: 
Email: ****@test.ru
Пароль: *********","Medium","Валидация полей","Регистрация > Валидация полей","Step Description:
Заполнить поля """"Email"""" и """"Пароль"""" и нажать на кнопку """"Регистрация""""
Expected Result:
Форма не отправится. Оба поля выдадут ошибки.","Форма не отправится. Оба поля выдадут ошибки.","Test Case (Steps)","Functional","5/10/2025 6:32 PM"
"C12","Валидация поля """"E-mail"""" на использование нескольких символов @ (собачка)","Anastasia Vasilyeva","5/8/2025 4:29 PM","Выполнить тест-кейс С4","Medium","Валидация полей","Регистрация > Валидация полей","Step Description:
Заполнить поле """"E-mail"""" значением """"user@domain@domain.com""""
Заполнить поле """"Пароль"""" валидным значением 
Нажать на кнопку """"Регистрация""""
Expected Result:
Форма не отправится. Поле """"E-mail"""" выдаст сообщение об ошибке.","Форма не отправится. Поле ""E-mail"" выдаст сообщение об ошибке.","Test Case (Steps)","Functional","5/10/2025 10:11 AM"
"C20","[Меню в шапке] Проверка переходов между разными разделами каталога","Anastasia Vasilyeva","5/10/2025 1:29 PM","Открыть главную страницу сайта: https://toptop.ru/","Medium","Каталог","Каталог","Step Description:
Нажать поочерёдно на кнопки """"Новинки"""",  """"Одежда"""", """"Обувь"""", """"Аксессуары"""", """"Косметика"""", """"Top Top Studio"""", """"Хиты продаж"""", """"Sale"""" в шапке сайта
Expected Result:
Откроется страница соответствующего раздела каталога.","Откроется страница соответствующего раздела каталога.","Test Case (Steps)","Functional","5/10/2025 1:44 PM"
"C21","[Меню товаров слева] Проверка переходов между разными подкатегориями","Anastasia Vasilyeva","5/10/2025 1:32 PM","Открыть страницу: https://toptop.ru/catalog/","Medium","Каталог","Каталог","Step Description:
Нажать на кнопку """"Обувь"""" в меню слева и в выпавшем списке покликать по подкатегориям товаров. 
Expected Result:
Подгружаются товары из выбранной подкатегории.","Подгружаются товары из выбранной подкатегории.","Test Case (Steps)","Functional","5/10/2025 5:44 PM"
"C14","Работа фильтра общего каталога товаров (несколько комбинаций фильтров)","Anastasia Vasilyeva","5/10/2025 9:20 AM","Открыть страницу: https://toptop.ru/catalog","Medium","Фильтр","Каталог > Фильтр","Step Description:
Прогнать тесты по комбинациям фильтров из прикреплённого файлика Excel 
Expected Result:
Фильтр выдаёт результаты поиска по фильтру.","Фильтр выдаёт результаты поиска по фильтру.","Test Case (Steps)","Functional","5/10/2025 9:50 AM"
